Ka-Sat,Космические аппараты
Дискавери (шаттл),Космические аппараты
United Launch Alliance,Космические аппараты
GSAT-19,Космические аппараты
ASM-135 ASAT,Космические аппараты
GSAT-17,Космические аппараты
Everts Air,Космические аппараты
SwissCube,Космические аппараты
Mitsubishi A6M Zero,Космические аппараты
Starlink,Космические аппараты
Jason-3,Космические программы
Аполлон (космическая программа),Космические программы
Dragonfly (космический аппарат),Космические аппараты
Планк (космическая обсерватория),Космические программы
Virgin Galactic,Космические программы
InSight,Аэрокосмические компании
Амос-6,Аэрокосмические компании
Международная космическая станция,Аэрокосмические компании
Вега (ракета-носитель),Космические аппараты
OneWeb,Аэрокосмические компании
United Airlines,Аэрокосмические компании
Inmarsat-5 F4,Аэрокосмические компании
Lufthansa,Аэрокосмические компании
GGS WIND,Аэрокосмические компании
Артемида (космическая программа),Космические программы
Qatar Airways,Аэрокосмические компании
